73	10	2.69
17	10	2.66
23	10	2.61
119	10	2.57
151	10	2.55
12	10	2.52
20	10	2.44
41	10	2.41
53	10	2.39
51	10	2.39
129	10	2.38
94	10	2.37
145	10	2.35
31	10	2.35
70	10	2.26
67	10	2.26
80	10	2.23
150	10	2.21
18	10	2.21
50	10	2.15
14	10	2.15
101	10	2.15
56	10	2.15
96	10	2.08
26	10	2.08
60	10	2.08
93	10	2.08
81	10	2.08
111	10	2.08
109	10	2.05
30	10	2.05
72	10	2.05
29	10	2.0
113	10	2.0
128	10	1.98
76	10	1.98
79	10	1.97
36	10	1.97
132	10	1.96
104	10	1.95
117	10	1.95
47	10	1.95
45	10	1.95
108	10	1.95
147	10	1.94
114	10	1.94
9	10	1.94
48	10	1.94
107	10	1.94
44	10	1.89
92	10	1.89
33	10	1.89
105	10	1.89
89	10	1.89
25	10	1.89
62	10	1.89
34	10	1.89
21	10	1.89
86	10	1.87
24	10	1.87
82	10	1.87
98	10	1.87
6	10	1.87
77	10	1.87
136	10	1.87
127	10	1.82
37	10	1.82
35	10	1.82
110	10	1.82
63	10	1.81
95	10	1.81
85	10	1.81
71	10	1.81
54	10	1.81
84	10	1.81
87	10	1.81
120	10	1.8
112	10	1.8
13	10	1.79
122	10	1.79
68	10	1.75
100	10	1.75
139	10	1.75
19	10	1.75
69	10	1.75
11	10	1.75
32	10	1.75
126	10	1.74
7	10	1.74
39	10	1.74
65	10	1.73
135	10	1.73
142	10	1.73
140	10	1.73
38	10	1.73
130	10	1.71
66	10	1.69
149	10	1.69
59	10	1.69
78	10	1.69
81	1	3.49
73	1	2.78
17	1	2.77
107	1	2.75
150	1	2.75
53	1	2.67
122	1	2.63
129	1	2.31
101	1	2.31
39	1	2.14
7	1	2.14
130	1	2.14
112	1	2.14
9	1	2.09
48	1	2.09
67	1	2.09
20	1	2.08
147	1	2.08
18	1	2.08
114	1	2.08
70	1	2.08
108	1	1.99
47	1	1.98
45	1	1.98
132	1	1.98
94	1	1.98
117	1	1.98
80	1	1.98
93	1	1.98
60	1	1.98
119	1	1.98
26	1	1.98
104	1	1.98
85	1	1.87
87	1	1.87
25	1	1.87
54	1	1.87
77	1	1.87
37	1	1.87
71	1	1.87
62	1	1.87
89	1	1.87
21	1	1.87
84	1	1.86
95	1	1.86
34	1	1.86
82	1	1.86
98	1	1.86
145	1	1.86
31	1	1.86
56	1	1.86
110	1	1.86
41	1	1.86
63	1	1.86
136	1	1.86
35	1	1.86
69	1	1.84
151	1	1.84
13	1	1.84
50	1	1.84
19	1	1.84
11	1	1.84
100	1	1.84
68	1	1.84
127	1	1.81
65	1	1.81
96	1	1.81
59	1	1.81
38	1	1.81
140	1	1.81
78	1	1.81
51	1	1.81
66	1	1.81
128	1	1.77
32	1	1.77
92	1	1.77
76	1	1.77
139	1	1.77
33	1	1.77
44	1	1.77
23	1	1.77
105	1	1.77
72	1	1.68
135	1	1.68
30	1	1.68
6	1	1.68
109	1	1.68
142	1	1.68
